fertilizer|비료
splendid|훌륭한
copper|구리
infection|감염
twisted|꼬인
professional|전문적인
wavy|물결 모양의
dedication|헌신
patience|인내심
counselor|상담사
escalate|악화되다, 상승하다
explanation|설명
parliament|의회
factual|사실의
channel|채널
span|기간, 걸치다
unbelievable|믿을 수 없는
nutrient|영양소
freezer|냉동고
arrogant|오만한
inference|추론
landmark|주요 지형물
mechanical|기계의
geography|지리학
contestant|참가자
ape|유인원
ecosystem|생태계
superstition|미신
operator|조작자
wildlife|야생동물
cemetery|묘지
conference|회의
shed|창고, (눈물 등을) 흘리다
unexpected|예기치 못한
satisfied|만족하는
ray|광선
adolescence|청소년기
underwater|수중의
construction|건설
discourage|낙담시키다
get along with|~와 잘 지내다
pay off|성과를 올리다, 청산하다
sign up for|~에 등록하다
show off|자랑하다
run out|다 쓰다
keep in touch|~와 연락하고 지내다
regardless of|~에 상관없이
put off|미루다
play a role in|~에서 역할을 하다
pay attention to|~에 주의를 기울이다
stand out|눈에 띄다
on purpose|고의로
make up for|보충하다, 만회하다
make sure|확실히 하다
look up|찾아보다
put up with|참다
break down|고장 나다, 붕괴되다
belong to|~에 속하다
stand for|상징하다
stay away from|~을 멀리하다
meanwhile|그동안에
come to mind|생각이 떠오르다
from now on|이제부터
focus on|~에 집중하다
figure out|알아내다
in need|어려움에 처한
cut off|잘라내다
cut down on|~을 줄이다
come up with|생각해 내다
come across|우연히 마주치다
stick to|~을 고수하다
carry out|수행하다
bring about|야기하다
deal with|다루다
break out|발발하다
in the middle of|~의 한가운데
lead to|~로 이끌다
turn a into b|A를 B로 바꾸다
slope|경사
essence|본질
peninsula|반도
impressed|감명받은
neighborhood|이웃
orbit|궤도
punctuation|구두점
optical|시각적인
prejudice|편견
defense|방어
nutrition|영양
complaint|불평
political|정치적인
habitat|서식지
substitute|대체하다
immigrate|이민 오다
bridge|다리
impossible|불가능한
attraction|매력, 명소
evaporate|증발하다
drip|방울, 뚝뚝 떨어지다
variety|다양성
